procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 104904   8048   7908  14780    3    5    12     8   70   96  1  1 98  0
 0  0 104904   8032   7908  14784    0    0     0     0   76  140  0  0 100  0
 0  0 104904   8032   7908  14784    0    0     0     0   61  133  0  0 100  0
 0  0 104904   8032   7908  14784    0    0     0     0   61  130  0  0 100  0
 0  0 104904   8032   7916  14784    0    0     0   464   94  141  0  0 100  0
 0  0 104904   8032   7916  14784    0    0     0     0   54  122  0  0 100  0
 0  0 104904   8032   7916  14784    0    0     0     0   59  137  0  0 100  0
 0  0 104904   8032   7916  14784    0    0     0     0  438  541  3  5 92  0
 3  0 104904   8032   7916  14796    0    0     0     0 1876 2356 12 28 60  0
 0  0 104904   7908   7916  14864    0    0     0     0 2160 2704 14 31 56  0
 0  1 105616   7892   7900  14916   96  736    96   736 4763 3741 24 28 46  2
 1  1 107044   7512   7648  14368  452 1504   456  1504 5293 3829 20 37 18 25
 1  0 108012   8740   7536  14176  192 1008   192  1032 3719 3616 44 35 13  9
 5  0 107944   8080   7536  14396   68    0    68     0 2872 3971 24 35 40  0
 1  0 107724   7976   7536  14592  440    0   452     0 2842 3878 32 42 26  0
 8  0 108028   6900   7452  14976    0  304   892  1900 3081 2646 43 54  4  0
 8  2 111756   7004   5224  19188  180 4012  5552  4392 8150 2493 38 61  0  1
 6  1 111728   7504   4072  21164 2812 2412  7504  3312 13314 2773 49 51  1  0
 8  2 119956   7556  12148  17796  948 11716 20256 13260 15046 6184 49 49  0  2
 7  0 122984   8976  13148  18324  928 3504  4108  3780 5031 3382 57 40  3  0
 5  0 122940   8696  13148  18668   64    0    68     0 2167 2530 67 31  2  0
 8  0 122788   7520  13148  19472  304    0   952     0 2446 2844 62 37  2  0
 6  0 123324   8088  13152  19036  140  768   140  1160 2390 2308 59 39  2  0
 6  0 123308   7836  13156  19380    0    0    80     0 2533 2216 62 37  1  0
 3  0 124708   7980  13104  19992  196 1584  1620  1584 3042 2699 58 41  1  0
 4  0 124696   7616  13104  20180    0    0     0     0 2185 1905 60 37  4  0
 6  0 124668   7524  13112  20572    0    0    40    32 2608 2380 62 35  3  0
 7  0 125184   8292  12964  20380  252  884   500   884 3026 2816 66 34  0  0
 5  0 125120   8152  12964  20676  132    0   132     0 2273 2271 62 36  3  0
10  0 125096   7720  12964  20968   44    0   100     0 2385 2201 60 39  1  0
 7  0 125896   8252  12736  20844  284  992   308   996 2819 2583 60 35  4  0
 5  0 125880   8052  12744  21172   32    0    32    28 2533 2910 60 39  1  0
 6  0 125876   7788  12744  21412    0    0     0     0 2228 2514 55 43  2  0
 7  0 125796   7556  12744  21684  164    0   164     0 2669 2491 55 42  2  0
 4  0 126388   8112  12032  21888    0  624    60   624 2887 2578 59 40  1  0
 7  0 126388   8028  12032  22188    0    0     0     0 2290 2129 57 40  3  0
 5  1 126380   7832  12100  22492    0    0    60    28 2570 2526 57 41  3  0
 8  0 126380   7468  12100  22812    0    0     0     0 2562 2509 58 39  4  0
 5  0 127004   8344  11424  22948  248  716   248   716 3047 2653 58 41  1  0
 8  0 126964   8228  11424  23304   76    0    76     0 2629 2538 61 36  2  0
 7  0 126964   7964  11424  23620    0    0     0     0 2391 2193 68 32  1  0
 6  0 126908   7492  11424  23964   52    0    96     0 2437 2284 62 36  3  0
 6  0 127560   8452  10440  24052   56  740    60   752 2606 2845 56 43  2  0
 8  0 127540   8248  10440  24384   40    0    40     0 2517 2656 58 39  3  0
 5  0 127540   8112  10440  24684    0    0     0     0 2461 2474 63 34  3  0
 7  0 127504   7452  10440  25060   40    0    40     0 2637 2782 60 39  1  0
 7  0 127864   8468   9636  25140    8  424     8   424 2792 2388 59 39  3  0
 8  0 127796   8148   9644  25468  168    0   168    28 2590 2249 63 36  1  0
