Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,55000,1064,602,1599,2754,8484,1,129530,0.022%,38.44793,74.70,0.00
/P1-base/procesapago,55000,1053,620,1675,2500,8263,5,129548,0.022%,38.44361,29.06,0.00
TOTAL,110000,1059,611,1649,2616,8341,1,129548,0.022%,76.76439,103.59,0.00
