Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
P1-base,1000,10,6,21,35,59,4,102,0.000%,91.03323,126.17,38.17
TOTAL,1000,10,6,21,35,59,4,102,0.000%,91.03323,126.17,38.17
