Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,95000,4829,0,4907,18847,130124,0,367016,59.708%,227.11896,399.65,0.00
/P1-base/procesapago,95000,3567,0,4033,10003,101354,0,366974,58.801%,226.67351,393.67,0.00
TOTAL,190000,4198,0,4517,16527,129584,0,367016,59.255%,451.03215,788.48,0.00
