procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1  73468  17032   1072  24824    9   12    59    21  206  241  5  4 90  0
 0  0  73468  16776   1092  25024    0    0   168     0  108  164  0  1 99  0
 0  0  73468  16776   1092  25024    0    0     0     0   90  145  0  0 100  0
 0  0  73468  16776   1096  25020    0    0     0    48   70  140  0  0 100  0
 0  0  73468  16776   1096  25020    0    0     0     0   59  125  0  0 100  0
 1  0  73468  16776   1096  25024    0    0     0     0  375  506  1  8 90  0
 0  0  73468  16216   1096  25128    0    0     0     0 1956 3716 15 28 57  0
 2  0  73468  15372   1096  25212    0    0     0     0 1329 2540 19 19 63  0
 1  0  73468  14024   1096  25256    0    0     0     0 1147  985 32 15 54  0
 1  0  73468  13304   1096  25280    0    0     0     0 1061  658 46 12 42  0
 1  0  73468  13788   1104  25292    0    0     0    36  735  204 44  8 48  0
 1  0  73468  13620   1104  25308    0    0     0     0  942  420 44 11 45  0
 3  0  73468  13628   1104  25320    0    0     0     0  850  310 43 12 45  0
 1  0  73468  13468   1104  25388    0    0     0     0 1099 1193 53 13 35  0
 3  0  73420  13252   1104  25460    0    0    88     0 1255  876 58 16 26  0
 4  0  73400  11848   1112  25680   32    0    32    12 2191 2933 54 40  7  0
 2  0  73400  12844   1112  25772    0    0     0     0 3499 9049 46 21 34  0
 4  0  73400  12820   1112  25776    0    0     0     0 3694 9522 39 23 39  0
 2  0  73400  12788   1112  25832    0    0     0     0 2373 4338 46 26 27  0
 7  0  73400  12324   1112  25988   32    0    32     0 1783 2397 59 35  7  0
 7  0  73400  11708   1120  26192    0    0     0    16 1882 2826 54 44  2  0
 2  0  73400  12136   1120  26384    0    0     0     0 2368 4537 51 31 18  0
 3  0  73384  11496   1120  26596   16    0    60     0 1952 2549 60 33  8  0
 1  0  73296  11732   1120  26736    4    0    32     0  944 1119 49 15 36  0
 1  0  73296  11660   1120  26768    0    0     0     0  807  727 46 12 42  0
 1  0  73296  11660   1120  26772    0    0     0     0  732  292 43 10 47  0
 1  0  73296  10924   1128  26812    0    0     0    12  950  853 47 13 40  0
 1  0  73296  10128   1128  26888    0    0     0     0 1087 1717 51 19 31  0
 1  0  73296  10516   1128  26948    0    0     0    16  937 1091 48 13 40  0
 2  0  73296  11284   1128  26956    0    0     0     0 1342 2365 43 14 44  0
 2  0  73296  11476   1128  26988    0    0     0     0 2765 6219 46 24 30  0
 2  0  73248  11360   1136  26984   40    0    40    16 1628 3272 52 18 30  1
 3  0  73248  11176   1136  27036    0    0     0     0 2078 3108 49 29 22  0
