procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1  78244  20916    620  21520    8   12    64    19  171  199  4  3 93  0
 1  0  78244  20916    620  21580    0    0     0     0 2227 3039 11 39 50  0
 0  0  78244  20792    620  21680    0    0     0     0 2508 3520 12 31 57  0
 1  0  78244  20408    620  21772    0    0     0     0 1896 2852 10 24 67  0
 0  0  78244  18756    620  21800    0    0     0     0 1360 1489  7 15 79  0
 1  0  78228  17132    628  21812   24    0    24    16 1227  658 36 17 47  0
 1  0  78228  17692    628  21880    0    0     0     0 1231  466 43 12 45  0
 4  0  78228  15928    628  22024    0    0     0     0 2243 1785 37 49 14  0
 1  0  78228  17080    628  22116    0    0     0     0 1063  748 46 15 40  0
 1  0  78228  17472    628  22116    0    0     0     0  692  268 43  8 49  0
 1  0  78228  17656    628  22120    0    0     0    12  962  204 44  7 49  0
 2  0  78228  17712    636  22112    0    0     0    32 2663 12392 29 12 59  0
 4  0  78208  16704    768  22540   88    0   676     0 1289 1637 53 27 20  0
 3  0  78208  16928    768  22708    0    0    68     0 1040 3901 76 16  9  0
 5  0  78160  16796    768  22720    4    0     4     0 1010 2463 69 18 14  0
 0  0  78136  15108    768  24008    4    0     4     0 2213 12607 32 30 38  0
 1  0  78136  14880    768  24100    0    0     0     0 1107 1099 42 17 41  0
 1  0  78136  15488    776  24112    0    0     0    40 1221  553 44 12 44  0
 4  0  78136  15496    776  24132    0    0     0     0 1676 2411 61 20 20  0
 1  0  78124  14708    776  24316    0    0     0     0 1753 3701 58 22 20  0
 1  0  78124  15144    776  24376    0    0     0     0 1356 1434 48 19 34  0
 2  0  78124  14172    776  24504    0    0     0     0 1539 1799 38 26 37  0
 1  0  78124  15012    784  24560    0    0     0    12 1395  696 43 14 43  0
 2  0  78124  14728    784  24604    0    0     0     0 1349 2144 61 21 19  0
 2  0  78112  15072    784  23236    0    0     0     0 1372 6703 70 20 10  0
 1  0  78112  15412    784  23300    0    0     0     4 1268 1689 46 20 34  0
 1  0  78112  15416    784  23320    0    0     0     0 2961 11966 24 14 62  0
 2  0  78012  15420    784  23348   68    0    88     0 3329 12726 36 17 47  1
 4  0  78012  15460    792  23360    0    0     0    40 1614 1468 59 23 18  0
 1  0  78000  14256    792  23424    0    0     8     0 2030 2867 27 26 47  0
 1  0  78000  15296    792  23548    0    0     0   608 1148  490 41 14 46  0
 5  0  77992  15104    792  23580    4    0     4     0 1749 1098 44 25 31  0
 1  0  77988  14888    792  23788    0    0     0     0 1429 2215 52 20 29  0
 0  0  77980  14312    800  23920   28    0    28    20 1839 2301 47 26 27  0
 1  0  77976  14220    800  23988    0    0     0     0 1846 2331 22 23 55  0
 2  0  77968  14236    800  24020    0    0     0    40 1681 3548 39 14 48  0
 1  0  77956  14060    800  24020    0    0     0     0 1616 1418 54 22 24  0
 1  0  77956  12232    800  24180    0    0     0    16 1589 3167 49 31 20  0
 2  0  77956  12912    808  24240    0    0     0    44 1055  992 52 20 27  0
 5  0  77956  12944    808  24248    0    0     0     0 1486 1377 55 26 20  0
 1  0  77956  12528    808  24412    0    0     0     0 1455 2440 35 23 42  0
 1  0  77956  13376    808  24404    0    0     0     0 1096  852 45 15 41  0
 0  0  77956  13360    808  24480    0    0     0     0 1912 4085 40 19 42  0
 1  0  77956  12296    808  24596    0    0     0     0 1295 2302 45 16 39  0
 2  0  77956  12808    808  24616    0    0     0     0 1017  405 44 11 46  0
 4  0  77956  12580    816  24960    0    0     0    16 2554 3934 57 31 13  0
 1  0  77956  12004    816  24988    0    0     0     0 1843 2726 31 26 43  0
 1  0  77956  12516    816  25088    0    0     0     0 1986 3132 47 22 32  0
 1  0  77948  11228    816  25212    4    0     4     0 2154 3431 28 26 46  0
 1  0  77948  11788    816  25316    0    0     0     0 1078  492 45 11 45  0
 2  0  77948  11548    824  25352    0    0     0    36 1735 2012 49 18 34  0
 1  0  77948  10432    824  25436    0    0     0     0 1797 2979 49 35 15  0
 1  0  77948  11272    824  25592    0    0     0     0 1232  605 43 15 42  0
 0  0  77948  11292    824  25632    0    0     0     0 1988 2211 25 27 48  0
 1  0  77948  10672    824  25788    0    0     0     0 1297 1526 45 20 36  0
 2  0  77948  10904    832  25808    0    0     0  1984 1112  513 47 11 42  0
 2  0  77948   9808    832  26076    0    0     0     0 1871 2774 55 35 10  0
 1  0  77948  10672    832  26052    0    0     0     0 1279  639 44 16 41  0
 0  0  77948  10296    832  26220    0    0     0     0 2352 2243 24 36 39  0
 1  0  77948  10504    832  26264    0    0     0     0 1274  884 41 19 41  0
 3  0  77948  10316    840  26436    0    0     0    24 2095 1689 36 37 27  0
 3  0  77948   9512    840  26476    0    0     0     0 2301 3758 21 23 57  0
 1  0  77948   9992    840  26532    0    0     0     0 1072  427 43 12 44  0
 1  0  77944   9192    840  26712    0    0     0     0 1901 3015 53 33 14  0
 2  0  77944   9580    840  26816    0    0     0     0 1320  843 41 18 41  0
 3  0  77928   9668    848  26884    0    0     0    28 2003 2246 33 27 40  0
 1  0  77928   8968    848  26988    0    0     0     0 1607 1902 26 19 56  0
 1  0  77928   8932    848  27024    0    0     0     0 1009  527 42 13 45  0
 1  0  77928   8844    848  27032    0    0     0     0 1261  410 46 12 43  0
 1  0  77856   8532    848  27180  116    0   116     0 2129 1851 34 40 26  0
 1  0  77856   8224    856  27256    0    0     0    88 1809 1744 27 22 52  0
 1  0  77856   8500    856  27400    0    0     0     0 1186 1607 44 19 37  0
 2  0  77856   7504    856  27548    0    0     0     0 1679 1529 33 31 37  0
 3  0  78136   8892    832  26812   24  532    24  3504 3760 1539 31 40 20  8
 2  0  78132   7984    832  26884    0    0     0     0 1890 1578 34 38 28  0
 1  0  78140   9204    780  26404   32  156    32   192 2821 1017 39 22 20 18
 1  0  78104   7856   1060  27584   56    0  1480     4 1404 1050 47 16 38  0
 1  0  78104   8536   1028  26716    0  120     0   120 2246 1417 49 17 23 12
 1  0  78088   8576   1028  26736   48    0    48     0 1329  936 43 18 40  0
 1  0  78064   8108   1028  26820   56    0    56     0 1870 3405 28 24 48  0
 1  0  78064   8260   1036  26936    0    0     0    64 1490 1117 40 22 38  0
 0  0  78064   8276   1036  27152    0    0     0     0 2066 2168 36 34 29  0
 1  0  78064   8028   1036  27180    0    0     0     0 1654 1118 36 25 40  0
 2  0  78064   7608   1036  27376    0    0     8     0 2246 2047 32 37 32  0
 1  1  78092   8264   1024  26404    0   32     0    32 1758 1650 35 22 41  2
 2  0  78092   8056   1032  26460    0    0     0    56 1956 1509 41 33 24  2
 1  0  78092   8280   1032  26584    0    0     0     0 1376 1435 42 22 37  0
 1  0  78092   7848   1032  26716    0    0     0     0 2073 1523 34 43 24  0
 1  0  78092   8208   1032  26800    0    0     0     0 1180 1085 30 15 56  0
 3  0  78092   7616   1032  26916    0    0     0     0 1413 2267 48 25 28  0
 1  0  78092   8356   1012  26320    0    0     0    12 1487 1302 46 15 34  5
 1  0  78092   8420   1012  26292    0    0     0     0  783  157 45  5 50  0
 1  0  78092   8124   1012  26432    0    0     0     0 1768 3052 37 25 38  0
 1  0  78092   8492   1012  26488    0    0     0     0  889  353 44  9 47  0
 3  0  78092   8224   1012  26496    0    0     0     0 1380  543 42 17 41  0
 1  0  78124   9088   1008  25456    0   40     0    68 2048 2930 47 33 18  3
 1  0  78124   9256   1008  25428    0    0     0     0  750  188 43  8 50  0
 4  0  78124   8168   1012  25468   16    0    24    16 1973 2916 23 23 54  0
 1  0  78124   8448   1012  25656   20    0    56     0 1279 1175 42 19 40  0
 1  0  78124   8584   1012  25680    0    0     0     0 1516  627 44 15 42  0
 4  0  78124   8232   1020  25780    0    0     0    52 1990 2480 34 30 36  0
 1  0  78124   8336   1020  25896    0    0     0     0 1256 1017 39 17 44  0
^C 1  0  78124   8400   1020  25924    0    0     0     0 1691 1054 44 20 37  0
 6  0  78120   9944   1020  24080   20    0    20   984 1358 1428 52 18 31  0
 2  0  78120   9824   1020  24276    0    0    12     0 1614 1911 30 27 43  0
 1  0  78120  10032   1028  24320    0    0     0    56 1350  527 39 18 43  0
 1  0  78108   9040   1028  24508   48    0    48     0 1666 2153 52 30 18  0
 1  0  78104  10088   1028  24536    0    0     0     0 1344 1172 51 17 32  0
 1  0  78104  10080   1028  24544    0    0     0    80 1189  360 44 12 45  0
 1  0  78104   8160   1028  24752    0    0     0     0 1672 2193 52 32 17  0
