procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  64548  15048   1944  33272    8   12    69    19  142  168  3  2 95  0
 0  0  64548  15032   1944  33280    0    0     0     0   97  154  0  0 100  0
 0  0  64548  15032   1944  33280    0    0     0     0   79  153  0  0 100  0
 0  0  64548  15032   1952  33272    0    0     0    16   89  165  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0     0   95  155  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0     0   82  151  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0     0  106  143  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0    44   94  157  0  0 100  0
 1  0  64548  15032   1952  33280    0    0     0     0   80  155  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0     0   97  157  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0     0   77  147  0  0 100  0
 0  0  64548  15032   1952  33280    0    0     0     0   80  147  0  0 100  0
 0  0  64548  15032   1952  33288    0    0     0     0  890 1228  1 11 88  0
 0  0  64548  15040   1952  33336    0    0     0     0 1573 1953  7 23 69  0
 4  0  64548  15040   1952  33388    0    0     0     0 2041 2588 10 32 58  0
 2  0  64548  14544   1952  33440    0    0     0     0 2095 2654 15 21 64  0
 2  0  64548  13592   1952  33484    0    0     0     0 1517 1848  7 19 74  0
 1  0  64548  11516   1960  33492    0    0     0    20 1120 1194 19 20 61  0
 0  0  64548  11516   1960  33720    0    0    16     0 2162 2507 37 38 26  0
 1  0  64548  12180   1960  33792    0    0     0     0 1480 1538 19 16 66  0
 2  0  64548  10548   1960  33864    0    0     0     0 2038 3101 30 31 40  0
 1  0  64548  11740   1960  33940    0    0     0     0 1037  731 32 17 52  0
 2  0  64548  11712   1968  33980    0    0     0    44 1224  991 47 15 39  0
 1  0  64548  11632   1968  33992    0    0     0     0 1951 2171 39 33 28  0
 2  0  64548   9716   1968  34000    0    0     0     0 1434 2682 45 29 26  0
 2  0  64548  11140   1968  34144    0    0     0     0 1061 1888 49 15 36  0
 2  0  64548  11240   1968  34156    0    0     0     0 1694 2361 47 27 27  0
 0  0  64548  11352   1976  34196    0    0     0    16 2330 5331 26 25 49  0
 1  0  64544  11048   1976  34236    0    0     0     0 2079 2756 16 15 69  0
 1  0  64544  11272   1976  34276    0    0     0     0  803  277 43  8 49  0
 3  0  64544  11068   1976  34388    0    0     0     0 2671 8231 40 29 31  0
 2  0  64544  11036   1976  34464    0    0     0     0 2096 3612 15 22 64  0
 0  0  64544  10836   1984  34516    0    0     0    12 2516 3656  5 17 77  0
 1  0  64544  11060   1984  34556    0    0     0     0 1563 1194 26 17 58  0
 1  0  64532  11156   1984  34560    0    0     0     0 1787 2456 41 23 36  0
 1  0  64512   9660   1984  34756   24    0    96     0 1592 2306 56 29 15  0
 0  0  64512  10888   1984  34860    0    0     0     0 1193 1086 41 12 47  0
 2  0  64512  10572   1992  34924    0    0     0    32 2168 2723  7 18 75  0
 1  0  64512   9584   1992  35036    0    0     0     0 1630 1623 32 21 48  0
 2  0  64512   9952   1992  35104    0    0     0     0 1522  645 40 18 42  0
 2  0  64512   9716   1992  35252    0    0     0     0 2287 3229 26 27 47  0
 2  0  64512   9216   1992  35352    0    0     0     0 1619 2155 32 20 47  0
 2  0  64512   9536   2000  35388    0    0     0  1236 1993 2583 46 22 31  0
 0  0  64512   8408   2000  35488    0    0     0     0 2183 3154 42 28 30  0
 1  0  64512   9104   2000  35556    0    0     0     0 1148  768 37 11 53  0
 3  0  64508   8692   2000  35712    0    0     0     0 2021 2078 47 35 18  0
 1  0  64508   8800   2000  35756    0    0     0     0 1867 2467 14 22 64  0
 1  0  64508   8640   2008  35780    0    0     0    44 1155  377 41 14 45  0
 0  0  64508   7756   2008  35892    0    0     0     0 2242 2427 33 38 30  0
 1  0  64508   8412   2008  36004    0    0     0     0 1224 1154 24 14 62  0
 3  0  64508   8252   2008  36020    0    0     0     0 1085  439 44 10 46  0
 1  0  65568   8712   2008  35468    0 1060     0  1060 1411 2126 53 24 23  0
 2  0  65568   8744   2016  35584    0    0     0    16 1503  831 39 24 38  0
 0  0  65568   8468   2016  35612    0    0     0     0 2220 3589 11 19 70  0
 1  0  65568   7860   2016  35664    0    0     0     0 1783 2303 24 15 61  0
 1  0  66080   8368   2016  35436    0  512     0   528 1831 4208 39 11 50  0
 1  0  66080   8188   2016  35436    0    0     0     0 1729 2834 39 29 32  0
 0  0  66080  10004   2036  33808    0    0     4    68 2072 2666 51 36 13  0
 0  0  66072  10132   2036  33788    0    0     0     0 1593 1934 22 15 64  0
 1  0  66072  10372   2036  33880    0    0     0     0 1579 1380 39 20 42  0
 3  0  66072  10004   2036  33944    0    0     0     0 2002 2014 36 22 42  0
 1  0  66072   9528   2036  34108    0    0     0     0 1566 2159 37 17 46  0
 3  0  66072  10072   2044  34104    0    0     0    52 1461 1351 48 20 31  0
 0  0  66056   8664   2044  34280    0    0     0     0 1686 2734 49 27 25  0
 1  0  66056   9880   2044  34360    0    0     0     0 1257 1087 38 12 50  0
 1  0  66056   9976   2044  34384    0    0     0     0 1203  449 43 11 46  0
 1  0  66056   9064   2044  34560    0    0     0     0 2125 2861 39 33 28  0
 1  0  66056   9872   2044  34584    0    0     0     0  863  268 42  9 50  0
 0  0  66056   9680   2052  34592    0    0     0    12 1339 1843 42 20 39  0
 1  0  66056   9072   2052  34772    0    0     0     0 1541 1803 34 24 43  0
 1  0  66056   9408   2052  34816    0    0     0     0 1670  843 42 20 38  0
 3  0  66056   8752   2052  34980    0    0     0     0 2555 3538 17 32 51  0
 1  0  66056   8968   2052  35016    0    0     0     0 1283 1090 23 14 63  0
 2  0  66056   8620   2060  35056    0    0    12    12 2215 2914 45 25 30  0
 3  0  67576   8484   1900  34396    0 1520     0  3296 2271 3874 48 31 19  1
 2  0  67576  10532   1900  34384    0    0     0     0 1028  598 28 12 60  0
 5  0  67568  10532   1900  34464    0    0     0     0 1935 3487 49 22 28  0
 1  0  67568  10500   1900  34628    0    0     0     0 1411 2253 49 23 28  0
 2  0  67568  11968   1908  32788    0    0     0    44 1229 1408 49 17 33  1
 0  0  67568  11924   1908  32884    0    0     0     0 2187 2787 28 21 51  0
 1  0  67568  11252   1908  32936    0    0     0     0 2381 3190  9 19 71  0
 1  0  67568  11260   1908  32976    0    0     0     0  795  331 44  8 48  0
 1  0  67568  11484   1908  32980    0    0     0     0 1225  494 41 13 46  0
 1  0  67568  11392   1916  33004    0    0     0    12 1292 1421 44 13 43  0
 0  0  67568  11276   1916  33196    0    0     0     0 2545 3600 13 40 46  0
 0  0  67568  11200   1916  33236    0    0     0     0 1882 2405  9 14 78  0
 1  0  67568  11008   1916  33252    0    0     0     0  864  269 31  8 60  0
 2  0  67568  10752   1916  33260    0    0     0     0 1675 1826 58 17 26  0
 1  0  67564   9900   1924  33404    0    0     0    12 1844 3339 55 29 17  0
 2  0  67564  11296   1924  33492    0    0     0     0 1788 2649  3 13 85  0
 1  0  67564   9908   1924  33512    0    0     0     0  876  517 34 11 56  0
 3  0  67564   9716   1924  33528    0    0     0     0 1926 2262 56 25 19  0
 0  0  67564   9976   1924  33740    0    0     0     0 1555 2218 49 20 31  0
 1  0  67564   9668   1932  33776    0    0     0    12 2902 3625  4 17 79  0
 1  0  67564   9596   1932  33808    0    0     0     0  408  236  9  4 87  0
 1  0  67564   9468   1932  33880    0    0     0     0 1438  899 41 19 40  0
 2  0  67564   9436   1932  33884    0    0     0     0 1175  709 45 11 44  0
 0  0  67564   8808   1932  34016    0    0     0     0 2206 3820 20 17 63  0
 1  0  67564   8648   1932  34060    0    0     0     0 1551 2012  6 12 83  0
 1  0  67564   8840   1940  34068    0    0     0    28 1053  296 40 12 48  0
 1  0  67564   8968   1940  34068    0    0     0     0  978  260 44  8 48  0
 6  0  67564   8780   1940  34132    0    0     0     0 1886 1078 45 28 27  0
^C 0  0  67564   9116   1940  34288    0    0     0     0 2258 3661 17 21 62  0
 0  0  67564   9308   1940  34304    0    0     0     0  579  375  3  3 93  0
 2  0  67564   8892   1948  34308    0    0     0    16 1337  740 61 14 24  0
 3  0  67564   8464   1948  34436    0    0     0     0 1861 2714 66 22 12  0
 0  0  67564   9044   1948  34536    0    0     0     0 2337 2720 25 26 49  0
 0  0  67564   8932   1948  34564    0    0     0     0 2677 3347  5 16 79  0
 1  0  67564   8460   1948  34588    0    0     0     0 1306  843 24 15 61  0
 1  0  67564   8080   1956  34624    0    0     0  2004 1304  782 48 11 42  0
 5  0  67564   7496   1956  34748    0    0     0     0 1745 3604 69 16 15  0
 0  0  68448   8604   1684  34864    0  884     0   884 2239 3607 10 16 60 14
 2  0  68448   8008   1684  34900    0    0     0     0 1924 1810 32 17 51  0
MEDIA
NR:  115 CPU:  47.1504

