Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,2500,17,6,41,59,174,1,1062,0.000%,43.06781,83.64,0.00
/P1-base/procesapago,2500,50,38,97,114,248,10,1087,0.000%,42.76428,52.40,0.00
TOTAL,5000,34,20,79,100,210,1,1087,0.000%,82.05734,129.95,0.00
