Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,35000,11058,3118,19526,66516,130748,1,397615,3.777%,75.44762,147.10,0.00
/P1-base/procesapago,35000,10083,3087,17942,44110,130652,3,397630,3.100%,75.41299,65.73,0.00
TOTAL,70000,10570,3102,18541,64919,130708,1,397630,3.439%,150.10733,211.76,0.00
