Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,55000,10111,1946,18384,67215,130776,0,504776,25.065%,99.38723,186.73,0.00
/P1-base/procesapago,55000,7944,1950,12479,34827,130582,0,455196,23.462%,99.37915,100.27,0.00
TOTAL,110000,9027,1948,17236,44869,130702,0,504776,24.264%,197.92360,285.78,0.00
