procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  77676  21420   1092  23932    9   12    62    20  188  218  5  3 92  0
 0  0  77676  21420   1092  23932    0    0     0     0  107  150  0  0 100  0
 0  0  77676  21420   1092  23932    0    0     0     0   94  155  0  0 100  0
 0  0  77676  21420   1100  23932    0    0     0    52  102  169  0  0 100  0
 0  0  77676  21420   1100  23932    0    0     0     0  113  177  1  0 100  0
 5  0  77676  21296   1100  23960    0    0     0     0 2150 3199  7 19 74  0
 1  0  77676  20892   1100  24080    0    0     0     0 2009 3746 14 37 48  0
 1  0  77676  20552   1100  24156    0    0     0     0 1609 2551  9 25 66  0
 2  0  77672  18556   1108  24216    4    0     4    20 1473 1889  9 18 73  0
 1  0  77672  17792   1108  24240    0    0     0     0  948  365 44 14 42  0
 2  0  77672  18000   1108  24292    0    0     0     0 1309  618 41 15 43  0
 1  0  77672  17812   1108  24308    0    0     0     0 1364  538 44 12 44  0
 1  0  77664  14776   1108  24448    0    0     0     0 1744 2023 45 34 20  0
 1  0  77664  16840   1116  24520    0    0     0    28  811  268 44  8 48  0
 1  0  77664  17792   1116  24532    0    0     0     0  687  195 42  9 49  0
 2  0  77664  17928   1116  24532    0    0     0     0 1502 3240 56 15 29  0
 2  0  77656  17928   1116  24508   32    0    32     0 1198 1310 52 16 32  0
 3  0  77552  16996   1116  24612  128    0   232     0 1650 1919 49 23 28  0
 1  0  77552  16592   1124  24804    0    0     0    16 1438 1545 42 25 33  0
 2  0  77544  17352   1124  24832    0    0     0     0 1708 3546 37 12 51  0
 2  0  77444  16832   1124  25188   96    0   424     0 2115 3977 50 24 26  0
 3  0  77444  16540   1124  25340    0    0     0     0 1487 2610 49 22 29  0
 1  0  77444  16668   1124  25408    0    0     0     0  907 1000 49 15 36  0
 1  0  77412  17884   1124  23548   32    0    32     0 1775 2967 54 25 21  0
 1  0  77412  17880   1132  23904    0    0     0    36 1373 2445 46 20 34  0
 1  0  77404  17720   1132  23968   32    0    32     0 1325 1288 51 22 27  0
 1  0  77404  16924   1132  24100    0    0     0     0 1765 2765 42 35 24  0
 2  0  77404  17488   1132  24236    0    0     0     0 3133 9521 33 21 45  0
 2  0  77236  16196   1132  24476   80    0   128     0 1793 2972 55 28 17  0
 1  0  77236  16912   1140  24528    0    0     0    32  952  731 46 10 44  0
 1  0  77236  17152   1140  24580    0    0     0     0 1151  986 46 15 40  0
 3  0  77236  17028   1140  24624    0    0     0     0 1065 1261 50 13 38  0
 1  0  77228  16720   1140  24808   28    0    28     0 1481 2249 52 29 20  0
 1  0  77228  16848   1140  24876    0    0     0    40 1214  604 47 13 41  0
 4  0  76048  14928   1148  25004 1176    0  1220    16 2349 5508 50 26 24  0
 1  0  76044  15248   1148  25184    0    0     0     0 2044 4270 39 23 38  0
 3  0  76036  14272   1148  25364   32    0    32     0 1773 2766 53 31 16  0
 2  0  76036  14880   1148  25460    0    0     0     0 1876 4757 42 16 41  0
 3  0  76036  14240   1148  25468    0    0     0    16 2981 11961 35 19 46  0
 1  0  76036  15144   1156  24072    0    0     0    48 1749 5623 61 30  9  0
 1  0  76036  15656   1156  24116    0    0     0     0  927  368 43 11 46  0
