procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1  77316  23312    740  20548    8   12    63    20  179  209  4  3 92  0
 0  0  77316  23188    740  20648    0    0    68     0  124  161  1  1 98  0
 0  0  77316  23188    740  20648    0    0     0     0   86  157  0  0 100  0
 0  0  77316  23188    748  20648    0    0     0    12   90  163  0  0 100  0
 0  0  77316  23188    748  20648    0    0     0     0   77  148  0  0 100  0
 1  0  77316  23188    748  20648    0    0     0     0  430  539  3  2 96  0
 1  0  77316  23196    748  20712    0    0     0     0 2183 3332 23 26 51  0
 2  0  77316  23104    748  20828    0    0     0     0 2838 4415 21 21 57  0
 1  0  77316  22528    748  20908    0    0     0     0 1931 2953 25 24 51  0
 0  0  77316  21020    748  20940    0    0     0     0  797  752  8  8 85  0
 1  0  77316  20004    756  20964    0    0     0    20  971  396 46 10 44  0
 1  0  77316  19532    756  20964    0    0     0    16 1226  242 43  9 48  0
 1  0  77184  19528    756  21032   68    0    68     0 1273 1610 51 15 34  0
 1  0  77164  19332    756  21212   16    0    24     0 1241 1345 51 18 32  0
 1  0  77164  19292    756  21232    0    0     0     0 1023  389 43 14 44  0
 2  0  77160  19256    764  21224    0    0    48    60 1699 1360 55 16 29  0
 1  0  77116  19080    764  21440   28    0    88     0 1758 4126 48 18 34  0
 2  0  76996  19004    764  22076  120    0   732     0 1522 1517 47 16 36  0
 3  0  76996  19012    764  22096    0    0     0     0 4729 15590 34 17 49  0
 2  0  76964  18380    764  22188   48    0    48     0 1926 3156 52 17 31  0
 1  0  76896  17372    764  22388  116    0   216     0 2016 2508 26 23 51  0
 2  0  76896  18188    772  22408    0    0     0    12 1117  712 50 12 38  0
 3  0  76812  18312    772  22424   32    0    32    16 1279 1351 73 16 12  0
 0  0  76804  18328    772  22528    0    0     0     0 2042 2737 40 24 36  0
 1  0  76804  18464    772  22588    0    0     0     0 1432 1159 31 17 52  0
