procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  76800  17964    772  22652    0    0     0     0 1562 2031 57 15 27  0
 1  0  76800  17560    780  22784    0    0     0    32 1270 1669 49 15 36  0
 1  0  76800  18048    780  22852    0    0     0     0 1468  815 40 21 40  0
 1  0  76800  17932    780  22952    0    0     0     0 1264 1062 45 18 37  0
 2  0  76800  17192    780  23008    0    0     0     0 1823 1429 36 30 34  0
 1  0  76800  17028    780  23084    0    0     0     0 1373 1109 32 15 53  0
 2  0  76800  17508    788  23132    0    0     0    16 1309 2555 40 10 50  0
 2  0  76800  17412    788  23132    0    0     0     4 1929 5435 57 15 28  0
 2  0  76680  15892    788  23308   72    0   132     0 1387 2213 72 21  8  0
 1  0  76680  16768    788  23380    0    0     0     0 1351 1683 34 16 49  0
 1  0  76680  16904    788  23400    0    0     0     0 1625 2153 46 16 39  0
 4  0  76676  16132    796  23408    0    0     0    16 1530 2756 69 16 14  0
 1  0  76676  16564    796  23616    0    0     0  1144 1140 1834 57 13 30  0
 2  0  76676  16660    796  23616    0    0     0     0  906  286 44  9 46  0
 5  0  76676  16692    796  23616    0    0     0     0 1392 1419 65 14 21  0
 0  0  76676  16240    796  23684    0    0     0     0 2215 3287 12 20 68  0
 1  0  76676  16344    804  23732    0    0     0    20 1388 1538 29 12 59  0
 2  0  76676  16476    804  23752    0    0     0     0 1038  858 54 13 33  0
 2  0  76672  16476    804  23752    4    0     4     0 1434 1448 71 17 12  0
 1  0  76672  16012    804  23828    0    0     0     0 1997 3362 42 18 41  0
 1  0  76672  15616    804  23896    0    0     0     0 1662 2142 27 13 60  0
 1  0  76672  15776    804  23936    0    0     0     0  987  565 46 12 43  0
 1  0  74372  13236    812  23972 2480    0  2504    12 1042  564 48 10 41  1
 4  0  74368  13156    812  23976    0    0     0     0 1143 1136 50 14 37  0
 1  0  74368  13040    812  24160   12    0    12     0 1398 1747 34 19 46  0
^C 2  1  69420   6544    804  24156 3416    0  3596     0 2002 1402 64 17 19  0
 5  1  69356   7948    780  23096    0    0     0     0 2104 1736 57 24 18  1
 3  0  69324   8668    780  22764   12    0    12    16 1481 1115 49 16 36  0
 0  0  69324   8720    780  22844    0    0     0     0 1794 2911 41 15 45  0
 1  0  69208   8152    780  22996   16    0    16     0 2022 3011 36 26 38  0
 2  0  69208   8280    780  22976    0    0     0     0 1039  783 52 10 39  0
 2  0  69208   8132    780  22988    0    0     0     0 1328 1763 74 16 11  0
 4  0  69204   8024    792  23084    0    0     4  1992 2077 2526 65 31  4  0
 0  0  69196   8216    792  23244    0    0     0     0 2135 3871 16 19 66  0
 2  0  69188   8224    792  23256    0    0     0     0  850  424 23  6 71  0
 1  0  69188   8064    792  23260    0    0     0     0  715  167 45  6 50  0
 5  0  69184   7712    792  23264    0    0     0     0 1302 1091 48 15 36  0
 4  0  69580  10152    764  22060   56  404    56   956 3360 2603 44 18 37  1
 1  0  69576   9372    764  22172   76    0    76     0 1727 2034 36 26 38  0
 4  0  69576   9308    764  22204    0    0     0     0 1930 1982 59 21 20  0
 1  0  69924  10084    752  21764   20  352    20   832 2683 2048 53 21 16  9
 1  0  69912   9852    752  21920   68    0   132     0 2520 8474 42 13 45  0
 1  0  69912   9628    760  21960    0    0     0    32 1717 2724 36 17 46  0
 1  0  69908   9988    760  22044    0    0     0     0 1460 1174 46 18 37  0
 5  1  69948   9984    748  21620    0   52    48   488 2664 1794 55 22 22  2
 1  0  69944  10228    748  21680    0    0    52     0 1488 1899 37 15 47  1
 2  0  69932   9404    752  22096  124    0   540    16 1163  920 48 10 42  0
 2  0  69920   9320    760  22200    0    0     0    56 2459 5336 58 19 23  0
 0  0  69920   9704    760  22388    0    0     0     0 1898 3565 35 20 44  0
 1  0  69920   9092    760  22420    0    0     0     0 1097 1147 29  9 62  0
 1  0  70736  10384    656  21372   36  828    36  1352 3975 1209 43 20 19 19
 1  0  71544  11572    624  21360  532  972   600  1156 3907 1898 50 20 24  6
 1  0  71540  12060    632  21352   32    0    32    36  940  203 44  8 49  0
 4  0  71432  12032    632  21460  100    0   176     0 2028 5149 51 14 35  0
 1  0  71400  10592    636  21536    0    0     4     0 1935 3005 32 19 49  0
 1  0  71400  11136    636  21576    0    0     0     0  811  221 44  6 49  0
 2  0  71400  11520    636  21576    0    0     0     0 1994 6440 48  8 44  0
 3  0  71392  11616    644  21536   40    0    40    32 1419 2074 65 15 20  0
 3  0  71392  11252    644  21664    0    0     0     0 1473 2710 59 21 20  0
 1  0  71376  11152    644  21788    0    0     0     0 1566 2588 25 15 59  0
 2  0  71376  11312    644  21828    0    0     0     0 2228 3998 48 15 37  0
 2  0  71376  11248    644  21856    0    0     0     0 1610 3187 67 13 20  0
 2  0  71368  10964    652  21828   28    0    28    12 2919 12556 55 14 32  0
 1  0  71356  10992    652  22040    0    0     0     0 1485 1778 53 20 27  0
 2  0  71356  10812    652  22140    0    0     0     0 1755 2955 35 15 49  0
 2  0  71348  10440    652  22232    4    0     4     0 1653 1678 52 21 28  0
 1  0  71348  10124    652  22376    0    0     0     0 1313 2792 54 13 33  0
 5  0  71328   9640    660  22424    0    0    28    12 3257 9293 47 20 33  0
 1  0  71320   9548    660  22544   36    0    36     0 1438 1575 37 15 49  0
 1  0  71320   9716    660  22596    0    0     0     0 1159 1050 48 11 41  0
 3  0  71320   9288    660  22700    0    0     0     0 1511 1798 58 20 22  0
 1  0  71652  10228    628  21992   32  344    32  1844 3122 1105 52 14 17 19
MEDIA
NR:  99 CPU:  58.0619


