procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  75940  18540   1340  30340    9   12    60    21  202  236  5  4 91  0
 0  0  75940  18540   1340  30404    0    0     0     0   69  130  0  0 100  0
 0  0  75940  18540   1340  30404    0    0     0     0   69  139  0  0 100  0
 0  0  75940  18540   1340  30404    0    0     0     0   71  137  1  0 99  0
 0  0  75940  18540   1348  30404    0    0     0    12   86  146  0  0 100  0
 0  0  75940  18416   1348  30404    0    0     0    16  104  167  0  0 100  0
 1  0  75940  18416   1348  30412    0    0     0     0  441  670  2  4 93  0
 1  0  75940  18088   1348  30528    0    0     0     0 2282 3958 16 25 59  0
 1  0  75940  16684   1348  30592    0    0     0     0 1449 2311 13 22 65  0
 1  0  75940  15264   1348  30684    0    0     0     0 1222 2008 26 18 56  0
 1  0  75940  14944   1356  30704    0    0     0    68  941  397 43 12 46  0
 1  0  75940  15240   1356  30704    0    0     0     0  917  185 45  9 47  0
 2  0  75940  14612   1356  30768    0    0     0     0 1657 1034 45 19 37  0
 1  0  75888  14252   1356  30964   48    0   188     0 1056  721 51 13 37  0
 1  0  75888  14620   1356  31024    0    0     0     0 1233  782 43 19 39  0
 2  0  75888  15140   1364  31016    0    0     0    16 1494 3271 44  8 48  0
 2  0  75888  15056   1364  31048    0    0     0     0 2428 4424 50 26 23  0
 2  0  75888  14744   1364  31088    0    0     0     0 1891 3351 45 17 38  0
 2  0  75876  14832   1364  31108   16    0    36     0 2912 10630 47 18 35  0
 2  0  75868  13372   1364  31252    0    0     0     0 1675 3609 60 23 17  0
 1  0  75868  14428   1364  31300    0    0     0     0  901  693 46  9 45  0
 2  0  75868  14692   1372  31292    0    0     0    12 1327 1762 54 13 33  0
 5  0  75868  14328   1372  31464    4    0     4     0 2051 2685 63 31  6  0
 2  0  75868  14568   1372  31628    0    0     0     0 2742 5571 44 26 30  0
 4  0  75868  13172   1372  31704    0    0     0    44 2317 4577 59 24 16  0
 1  0  75868  14200   1372  31828    0    0     0     0 1149 1088 47 16 37  0
 2  0  75868  14320   1372  31840    0    0     0     0 2626 7107 51 21 28  0
 1  0  75868  14368   1380  31880    0    0     0    12 2935 8429 46 17 37  0
 1  0  75868  10776   1380  32076    0    0     0     0 2023 6435 53 23 24  0
 2  0  75868  14168   1380  32080    0    0     0    20 1436 1770 51 18 32  0
 3  0  75848  14176   1380  32108    0    0     0     0 2330 5230 52 22 26  0
 1  0  75848  11340   1380  32280    0    0     0     0 1788 2697 53 24 23  0
 2  0  75788  13804   1388  32240  216    0   216    16 2731 6335 38 13 49  0
 3  0  75684  11636   1388  32404  188    0   212     0 1951 3337 62 21 17  0
 2  0  75684  13452   1388  32512    0    0     0     4 1276 1369 49 15 37  0
 1  0  75680  12344   1388  32664    0    0     0     0 1597 3089 59 23 19  0
 3  0  75680  13336   1388  32680    0    0     0     0 1855 2392 57 16 27  0
 1  0  75680  13052   1396  32856    0    0     0    44 1439 1790 62 18 21  0
 5  0  75680  13080   1396  32892    0    0     0     0 2761 5296 48 21 31  0
 1  0  75680  12796   1396  33044    0    0     0  1812 1133 1083 51 16 34  0
 3  0  75680  12552   1396  33064    0    0     0     0 3724 10982 39 21 40  0
 5  0  75680  11860   1396  33216    0    0     0     0 1558 3100 54 24 21  0
 2  0  75680  12588   1404  33312    0    0     0    24 1413 1495 54 15 32  0
 3  0  75680  12708   1404  33332    0    0     0     0 3693 10500 35 19 47  0
 1  0  75680   8488   1404  33516    0    0     0     0 2039 3045 52 25 23  0
 2  0  75680  12256   1404  33532    0    0     0     0 2091 4591 40 10 51  0
 4  0  75680  12172   1404  33568    0    0     0     0 2521 6632 48 19 34  0
 2  0  75676  12180   1412  33744    0    0     0    12 1549 2918 53 18 29  0
 2  0  75672  12900   1412  33808    0    0     0     0 1716 2818 64 15 21  0
 1  0  75672  11988   1412  33856    0    0     0     0 1427 1247 46 17 38  0
^C 1  0  75672  10736   1412  33996    0    0     0     0 1701 3631 41 18 41  0
 1  0  75672  11952   1412  34012    0    0     0     0  704  632 10  6 85  0
 1  0  75672  11100   1420  34040    0    0     0    12 1102  790 53 10 37  0
 3  0  75672  10704   1420  34092    0    0     0     0 2366 5999 50 19 31  0
 1  0  75672  10888   1396  33496    0    0     0     0 1068 1233 49 14 37  0
 2  0  75672  11128   1396  33496    0    0     0     0 3556 14469 35 17 47  0
 1  0  75672  10876   1396  33660    0    0     0     0 1519 2020 59 20 21  0
 2  0  75672  11172   1404  33680    0    0     0    32 1664 2758 53 15 32  0
 1  0  75672   9040   1404  33840    0    0     0     0 1769 2465 49 24 28  0
 1  0  75672  10840   1404  33856    0    0     0     0  956  382 45 10 45  0
MEDIA
NR:  62 CPU:  57.8333


