procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  76216  19340    836  27692    9   13    62    21  196  228  5  4 91  0
 0  0  76216  19340    836  27808    0    0     0     0  122  165  0  0 100  0
 0  0  76216  19340    836  27808    0    0     0     0  101  154  0  0 100  0
 0  0  76216  19340    836  27808    0    0     0     0   69  128  0  0 100  0
 0  0  76216  19340    836  27808    0    0     0     0   59  132  0  0 100  0
 0  0  76216  19340    836  27812    0    0     0     0  592  720  3 10 87  0
 2  0  76216  19208    836  27916    0    0     0     0 2329 4042 14 33 53  0
 0  0  76068  18608    836  28016    0    0     0     0 1535 2402 15 22 64  0
 0  0  76068  17300    836  28072    0    0     0    12 1077 1538  8 18 73  0
 1  0  76068  16068    836  28088    0    0     0     0 1006  498 30 15 55  0
 1  0  76068  15860    844  28112    0    0     0    40  979  521 44 11 45  0
 1  0  76064  16016    844  28136    0    0     0     0  842  285 44  8 49  0
 1  0  76044  15760    844  28172   16    0    16     0 1034  795 45 14 42  0
 1  0  76044  15924    844  28216    0    0     0     0  980  586 46 10 44  0
 1  0  76044  15932    844  28224    0    0     0     0  795  250 43  9 47  0
 2  0  75960  15840    844  28240   92    0    92     0 1796 4278 44 16 39  0
 3  0  75956  15708    852  28264    0    0     0    16 1996 4107 40 28 32  0
 1  0  75944  13592    852  28512    4    0    44     0 1338 2532 55 28 18  0
 2  0  75936  14704    852  28516    0    0     0     0  757  250 46 10 44  0
 2  0  75928  15200    852  28536    0    0     0     0 1425 2035 41 18 41  0
 2  0  75924  15176    852  28564    4    0     4     0 2530 5730 40 20 39  0
 1  0  75924  14888    860  28644    0    0     0    16 2307 2649 44 36 21  0
 1  0  75876  13528    860  28892    8    0     8     0 1777 2660 62 28 10  0
 2  0  75876  14680    860  28948    0    0     0    36 4413 11721 25 20 54  0
 2  0  75876  14720    860  28980    0    0     0     0 4449 11909 20 28 51  0
 2  0  75876  13480    860  29136    0    0     0     0 1709 3937 56 26 18  0
 2  0  75876  14400    868  29204    0    0     0    36 1520 2447 40 18 42  0
 2  0  75876  14308    868  29312    0    0     0     0 3693 8877 30 31 39  0
 4  0  75876  14216    868  29380    0    0     0     0 2907 5263 43 33 25  0
 4  0  75656  13232    868  29680  216    0   248     0 1871 3062 63 33  5  0
 2  0  75656  13688    868  29780    0    0     0     0 1973 3283 43 21 36  0
 6  1  75120  12416    876  30140  336    0   428    28 2285 3718 56 36  8  0
 1  0  75004  12308    876  30236   72    0    72     0 1647 1844 53 22 25  0
 1  0  75004  10480    876  30416    0    0     0     0 1837 2625 53 31 16  0
 2  0  74980  12300    876  30464   52    0    52     0 2693 6838 35 11 54  0
 1  0  74976  10232    876  30544    0    0     0     0 2669 5071 36 36 28  0
 1  0  74976  12576    884  30664   52    0    52    12 1148  930 44 13 43  0
 2  0  74972  12396    884  30688    0    0     0     0 1733 1967 44 19 37  0
 3  0  74956  11256    884  30856    0    0     0   932 1516 6796 65 24 11  0
 1  0  74948  12012    884  31164    0    0     0     0 1311 1368 59 14 27  0
 1  0  74948   9016    884  31328    0    0     0     0 1706 2253 45 30 26  0
 1  0  74948  11696    884  31360    0    0     0     0  806  201 42  9 49  0
 2  0  74940  11588    896  31688   64    0   380    56 1404 1426 48 15 37  0
 3  0  74936  11668    896  31692    0    0     0     0 2050 3811 40 25 35  0
 1  0  74932   8924    896  31800    0    0     0     0 1797 4003 47 28 25  0
 1  0  74932  11024    896  31892    0    0     0     0  993  912 45 13 42  0
 2  0  74928  10620    896  31912    0    0     0    16 4164 11513 28 21 51  0
 1  0  74928   9120    904  32088    0    0     0    44 1800 3516 46 28 26  0
 3  0  74912  10424    904  32096    0    0     0     0 2449 6645 34 14 52  0
 3  0  74904   8596    904  32168    4    0     4     0 2324 4846 46 28 25  0
^C 3  0  74892  10068    904  32300   16    0    16     0 1201 1194 45 16 38  0
 3  0  74892  10048    904  32340    0    0     0     0 1913 2767 46 22 32  0
 1  0  74892   9808    912  32512    0    0     0    12 1445 1751 44 26 29  0
 2  0  74892  10072    912  32524    0    0     0  1960 2187 5078 34 21 46  0
 1  0  74892   8448    912  32700   24    0    24     0 1501 2872 52 25 22  1
 3  0  74892  10128    912  32704    0    0     0     0 3758 13908 21 22 58  0
 1  0  74892   8152    912  32840    0    0     0     0 1779 3448 38 26 36  0
 2  0  74892   9720    920  32888    0    0     0    24 1944 4569 36 19 45  0
 1  0  74940   9768    884  31592    0   52     4  2024 2326 5936 31 21 40  7
 1  0  74936  10076    884  31668    0    0    28     0 1501 1957 43 19 38  0
 2  0  74936  10956    884  29996    0    0     4     0 1821 3896 54 27 20  0
 2  0  74936  11692    884  30020    0    0     0     0 3035 8223 30 27 43  0
 1  0  74936   9816    892  30196    0    0     0    48 2220 2172 42 39 19  0
 2  0  74936  11408    892  30216    0    0     0     0 1665 3641 36 16 48  0
 1  0  74936  10984    892  30364    0    0     0     0 1718 2654 46 28 27  0
 6  0  74936  11416    892  30416    0    0     4     0 1530 1802 44 20 36  0
 4  0  74936  10328    892  30456    0    0     0     0 2889 10413 38 23 40  0
 2  0  74936  11336    900  30596    0    0     0    12 1505 2949 42 16 43  0
 0  0  74916  10544    900  30692    8    0     8     0 1953 3551 44 25 30  0
 1  0  74916  11184    900  30796    0    0     0     0 1413 1619 33 22 45  0
 2  0  74912  10324    900  30880    0    0     0     0 1405 2340 53 25 23  0
MEDIA
NR:  73 CPU:  58.5493

