procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  76572  25348   1360  27764    8   12    66    19  154  182  3  2 94  0
 0  0  76572  25216   1360  27820    0    0    32     0  137  160  0  0 99  0
 0  0  76572  25216   1360  27820    0    0     0     0  125  148  0  0 100  0
 0  0  76572  25216   1360  27820    0    0     0    40   97  149  0  0 100  0
 0  0  76572  25216   1360  27820    0    0     0     0   99  153  0  0 100  0
 0  0  76572  25216   1360  27820    0    0     0     0   99  159  0  0 100  0
 0  0  76572  25216   1360  27820    0    0     0     0  100  158  0  0 100  0
 2  0  76572  25216   1360  27820    0    0     0     0  677  842  3  9 88  0
 0  0  76572  25216   1360  27868    0    0     0     4 1773 2281 13 30 57  0
 1  0  76572  25124   1360  27940    0    0     0     0 2380 3364 13 37 49  0
 0  0  76572  24748   1360  28012    0    0     0     0 2178 2984 10 26 64  0
 1  0  76572  22392   1360  28048    0    0     0     0  663  454 13 13 75  0
 1  0  76572  20680   1368  28320    0    0     0    36 1888 2188 50 34 17  0
 1  0  76572  22272   1368  28300    0    0     0     0  858  320 44 10 46  0
 2  0  76572  21264   1368  28452    0    0     0     0 1511 2060 57 21 23  0
 1  0  76572  22040   1368  28500    0    0     4     0  858  240 45  7 49  0
 2  0  76572  21996   1368  28544    0    0     0     0 1720 2277 43 17 41  0
 2  0  76500  21524   1388  28752  260    0   468    28 1838 1374 63 22 16  0
 1  0  76500  19800   1388  28904    0    0     0    16 1945 1990 38 43 19  0
 1  0  76496  21136   1388  28936    0    0     0     0 1202  716 42 18 41  0
 0  0  76496  21164   1388  28976    0    0     0     0 1265  652 40 15 46  0
 1  0  76496  19600   1388  29060    0    0     0     0 1828 2788 29 26 45  0
 1  0  76496  20640   1396  29132    0    0     0    16  991  376 44 11 46  0
 1  0  76404  20868   1396  29176   72    0    72     0 1836 2443 47 25 29  0
 1  0  76404  19196   1396  29320    0    0     0     0 1766 2479 34 25 41  0
 2  0  76400  20244   1396  29396    4    0     4     0 1795 1959 41 23 35  0
 1  0  76392  20460   1396  29416    0    0     0     0 1631 1563 44 21 35  0
 2  0  76392  19984   1404  29480    0    0     0    12 1972 3007 31 24 46  0
 1  0  76392  19196   1404  29580    0    0     0     0 1503 2053 29 24 46  0
 1  0  76392  20076   1404  29620    0    0     0     0 1040  311 41 13 46  0
 1  0  76392  20236   1404  29632    0    0     0     0 1094  275 44  9 46  0
 0  0  76392  19624   1404  29712    0    0     0     0 2339 3393 14 24 62  0
 1  0  76392  19480   1412  29776    0    0     0    12 1164 1132 40 15 45  0
 1  0  76392  19880   1412  29792    0    0     0     0 1083  274 43 11 46  0
 4  0  76392  19916   1412  29812    0    0     0     0 1980 3641 48 24 28  0
 0  0  76392  19268   1412  29936    0    0     0     0 2461 4042 13 24 63  0
 2  0  76392  19492   1412  29988    0    0     0     0 1286 1173 38 13 50  0
 1  0  76384  19464   1420  30088    0    0    80    12 1325  377 46 12 42  0
 4  0  76336  18976   1420  30228  204    0   336   232 1607 1527 47 18 35  0
 1  0  75692  18184   1420  30380  488    0   488     0 1979 2088 67 21 12  0
 1  0  75676  18172   1420  30532    0    0    44     0 1447 1220 49 21 30  0
 4  0  75672  16980   1420  30584    0    0     0     0 1633 2374 48 29 24  0
 2  0  75672  17496   1428  30676    0    0     0    40 1031  612 45 11 45  0
 0  0  75672  17656   1428  30768    0    0     0  1980 2053 2633 22 21 57  0
 1  0  75672  16472   1428  30964    0    0     0     0 2206 2913 20 34 47  0
 2  0  75416  16796   1428  31012  316    0   316     0 1392  670 45 16 39  0
 2  0  75412  16160   1428  31120    0    0     0     0 1802 2843 40 27 33  0
 1  0  75412  16124   1436  31180    0    0     0    24 1130  841 45 15 41  0
 3  0  75396  15224   1440  31248    8    0     8     8 1784 2226 49 31 19  0
 1  0  75396  15556   1440  31416    0    0     0     0 1295  947 42 19 39  0
 1  0  75396  15000   1440  31532    0    0     0     0 1075 1688 47 14 39  0
 1  0  75396  15528   1440  31580    0    0     0     0 1246  770 38 20 42  0
 1  0  75396  15312   1440  31580    0    0     0     0  967  639 44 13 43  0
 1  0  75396  14692   1448  31676    0    0     0    48 1824 1599 29 28 43  0
 1  0  75396  14480   1448  31748    0    0     0     0  966  831 43 13 43  0
 0  0  75388  14128   1448  31932  144    0   144     0 2124 3631 28 26 46  0
 2  0  75388  13912   1448  31952    0    0     0     0 1929 2544 11 20 69  0
 2  0  75388  13800   1448  31976    0    0     0     0 1165  373 42 13 44  0
 4  0  75388  13324   1456  31996    0    0     0    44 1578 1767 55 26 18  0
 2  0  75388  13460   1456  32184    0    0     0     0 1373 3301 53 17 30  0
 0  0  75388  13312   1456  32236    0    0     0     0 2079 2943 31 24 46  0
 1  0  75388  12992   1456  32320    0    0     0     0 1765 1869 24 15 61  0
 1  0  75388  13296   1456  32336    0    0     0     0 1181  415 42 13 45  0
 1  0  75388  13104   1464  32352    0    0     0    12 1063  281 41 13 46  0
