procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  75388  12300   1464  32460    0    0     0     0 1652 2232 29 28 44  0
 1  0  75388  13252   1464  32560    0    0     0     0 1154  615 40 20 40  0
 2  0  75388  12808   1464  32604    0    0     0     0 1685  821 38 25 37  0
 1  0  75388  11716   1464  32736    0    0     0     0 2021 2871 17 28 56  0
 1  0  75388  12588   1472  32788    0    0     0    32 1007  310 43 10 47  0
 1  0  75388  12588   1472  32832    0    0     0     0 1425  487 42 15 43  0
 2  0  75388  11824   1472  32944    0    0     0     0 2322 3650 21 23 56  0
 1  0  75388  12144   1472  33000    0    0     0     0 1050  657 41 13 47  0
 1  0  75388  12336   1472  33024    0    0     0     0 1643 1705 41 17 42  0
 1  0  75388  12152   1480  33124    0    0     0  1972 1390 1827 39 15 47  0
 1  0  75388  11448   1480  33196    0    0     0     0 1751 2561 30 21 48  0
 2  0  75388  12368   1480  33220    0    0     0     0 1064  464 44 11 45  0
 2  0  75388  12068   1480  33364    0    0     0     0 1720 2115 39 26 36  0
 1  0  75388  12096   1480  33464    0    0     0     0 1303 1905 48 19 33  0
 3  0  75388  12224   1488  33484    0    0     0   100 1416  875 39 16 45  0
 5  0  75388  11176   1488  33560    0    0     0     0 2555 4118 12 16 73  0
 1  0  75388  10864   1488  33616    0    0     0     0 1401 1211 28 18 54  0
 1  0  75388  11216   1488  33636    0    0     0     0  927  231 43  8 49  0
 3  0  75380  11220   1488  33652    0    0     0     0 1791 2172 48 23 30  0
 2  0  75380  11252   1488  33688    0    0     0     0 1574 2213 54 23 22  0
 0  0  75376  11592   1496  33844    0    0     0    32 2558 3465 28 32 41  0
 0  0  75376  11844   1496  33888    0    0     0     0  872  748  2  7 91  0
 1  0  75376  11076   1496  33892    0    0     0     0 1268 1046 43 12 45  0
 1  0  75376  11044   1496  33896    0    0     0     0 1475 1310 52 22 26  0
 2  0  75376   9112   1496  34088    0    0     0     0 1842 2494 46 28 25  0
 0  0  75376  10076   1504  34140    0    0     0    16 2210 2459  5 18 76  0
 1  0  75376   9696   1504  34152    0    0     0     0  690  306 21  7 72  0
 1  0  75372   9760   1504  34160    0    0     0     0 2185 4826 41 18 41  0
 1  0  75372  11472   1504  32476    0    0     0     0 1501 3812 50 26 25  0
 2  0  75372  11920   1504  32432    0    0     0     0 1638 2255 42 23 34  0
 0  0  75372  11088   1512  32488    0    0     0    36 2189 3209 22 22 56  0
 1  0  75372  10536   1512  32556    0    0     0     0 1843 2096 19 12 69  0
 1  0  75372  10888   1512  32572    0    0     0     0  952  284 43  9 48  0
 2  0  75372  10952   1512  32580    0    0     0     0 1164  733 46 15 39  0
 5  0  75372  10984   1512  32620    0    0     0     0 2860 7824 38 28 34  0
 2  0  75372  11448   1520  32784    0    0     0    12 2055 3041 27 22 52  0
 0  0  75372  11500   1520  32828    0    0     0     0 1819 2596  7 21 72  0
 1  0  75372  10756   1520  32852    0    0     0     0  806  640 25 10 66  0
^C 1  0  75372  10628   1520  32872    0    0     0     0 1283  579 41 18 42  0
 0  0  75372  10448   1520  33024    0    0     0    12 2161 1828 31 42 28  0
 0  0  75372  10644   1528  33100    0    0     0    16 2293 3180  6 16 79  0
 1  0  75372  10692   1528  33132    0    0     0     0 1235  974  7 10 84  0
 2  0  75364  10276   1528  33140    0    0     0     0 2168 5029 39 18 43  0
 3  0  75364  10148   1528  33148    0    0     0     0 1436 1478 58 20 21  0
 2  0  75364  10320   1528  33308    0    0     0     4 1112 3186 42 20 38  0
 1  0  75364  10224   1536  33384    0    0     0    16 1545 1931 20 16 64  0
 2  0  75364   9172   1536  33520    0    0     0     0 2165 1898 35 41 24  0
 2  0  75364   9532   1536  33624    0    0     0     0 1315 1672 49 20 31  0
 1  0  75364   8744   1536  33780    0    0     0     0 1727 2619 49 29 21  0
 1  0  75364   8672   1536  33836    0    0     0    16 1774 1791 15 17 68  0
 1  0  75364   8696   1544  33860    0    0     0    44 1225  795 43 15 42  0
 5  0  75364   7644   1544  34020    0    0     0     0 2325 4594 51 33 16  0
 1  0  75808   8776   1468  33624    0  444     0   444 1625 1483 35 19 31 15
 4  0  75808   8744   1468  33704    0    0     0     0 1193  665 45 12 43  0
 1  0  75808   8184   1468  33824    4    0     4    52 1518 2533 50 23 28  0
 3  0  75808  10168   1476  31944    0    0     0    12  987 5916 69 15 17  0
 7  0  75808  10000   1476  32044    0    0     0     0 1737 4650 67 25  7  0
 2  0  75808   9504   1476  33540    0    0     0     0 2105 8977 52 32 17  0
 1  0  75808   9460   1476  33592    0    0     0     0 1391 1327 43 20 37  0
 0  0  75808   8792   1476  33712    0    0     0     0 2171 3297 12 26 62  0
 1  0  75808   8504   1484  33764    0    0     0    40 1963 2521  5 19 76  0
 1  0  75808   8432   1484  33780    0    0     0     0  781  229 39 10 51  0
 1  0  75808   8572   1484  33792    0    0     0     0 1436  531 39 19 43  0
 2  0  75808   8608   1484  33916    0    0     0     0 1753 1208 34 33 34  0
MEDIA
NR:  130 CPU:  53.4375

