Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,65000,7245,462,9339,36574,130579,0,346546,38.208%,163.04498,297.83,0.00
/P1-base/procesapago,65000,5297,502,7828,18383,130144,0,349198,36.443%,162.83585,290.33,0.00
TOTAL,130000,6271,483,8623,32044,130465,0,349198,37.325%,323.78419,584.36,0.00
