Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,15000,5680,2749,10168,17876,67797,1,196829,0.513%,54.11255,105.12,0.00
/P1-base/procesapago,15000,5580,2692,10235,17421,67049,4,145359,0.587%,54.02154,50.95,0.00
TOTAL,30000,5630,2719,10191,17594,67252,1,196829,0.550%,107.23017,154.72,0.00
