procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0  45636   7944   2380  25400    8   12    70    18  137  162  3  2 95  0
 1  0  46704   8256   2256  25284    0 1068     0  1084 2242 2382  8 25 66  1
 1  0  48064   8352   2144  25396    0 1360     4  1360 2662 3629  9 23 63  4
 0  0  48064   8056   2144  25404    0    0     0     0 1616 1782  2 17 81  0
 1  0  49288   8324   2144  25376   32 1236    40  1236 1060  317 35 11 53  3
 1  0  49224   8436   2144  25384  224    0   224     0 1584 2079 51 15 34  0
 2  0  49212   8420   2144  25416    0    0     0     0 1290 1199 57 23 20  0
 0  0  50528   9012   2148  25564  224 1376   228  1388 2561 2825 36 31 34  0
 2  0  50528  10108   2148  25560   32    0    32     0 1931 2621  5 14 81  0
 1  0  50524   9684   2148  25572  244    0   244     0 1425  804 48 13 39  0
 2  0  50512   8744   2148  25828   32    0    32     0 1706 3400 53 31 16  0
 3  0  50512   9508   2148  25852    0    0     0     0 1246 1385 50 24 27  0
 2  0  50508   9548   2156  25896    0    0     0    16 2069 2948 24 23 52  0
 2  0  50508   8748   2156  25968    0    0     0     0 1988 2511 26 17 57  0
 2  0  50508   9156   2156  25996    0    0     0     0 1425 2084 46 15 40  0
 2  0  50484   8972   2156  26024    0    0     0     0 1641 1971 56 28 15  0
 2  0  50484   8936   2156  26208    0    0     0     0 1556 2157 32 21 47  0
 4  0  50468   9272   2164  26268   32    0    32    12 2184 2613 39 24 37  0
 1  0  50412   8908   2164  26424   32    0   108     0 2353 3285 13 23 64  0
 1  0  50412   8396   2164  26476    0    0     0     0 1236 1186 29 16 54  0
 1  0  50412   8300   2164  26488    0    0     0     0  966  206 43  8 49  0
 2  0  53308   7908   2068  26624    0 2908     0  2908 3033 2179 52 35 10  2
 1  0  54436   7896   2056  26640   32 1144    32  1176 1278  935 43 17 39  0
 1  0  54416   7896   2056  26644  416    0   416     0  612  162 44  6 50  0
 1  0  54400  10540   2056  26664   96    0    96     0  756  200 43  8 49  0
 1  0  54392  11584   2056  26648  128    0   128     0  765  223 42 11 48  0
 2  0  54392  11656   2056  26648    0    0     0     0  738  304 46  5 49  0
 2  0  54392  11864   2056  26692    0    0     0  1420 1274 1541 64 17 19  0
 2  0  54388  11892   2064  26720    0    0     8     0 1775 1709 36 21 43  0
 2  0  54340  11728   2072  26728  160    0   160    40 1271 1337 38 10 53  0
 1  0  54336  11484   2072  26856    0    0     0     0 1841 2533 51 26 24  0
 2  0  54336  11548   2072  26872    0    0     0     0 1479 3479 57 16 27  0
 1  0  54336  11432   2072  26872    0    0     0    28 1578 2969 56 24 21  0
 3  0  54336  11416   2072  26948    0    0     4     0 2253 3089 17 21 62  0
 0  0  54336  10604   2080  27048    0    0     0    12 1880 2583 16 17 68  0
 1  0  54316  11248   2080  27084   32    0    32     0 1379  848 26 16 58  0
 2  0  54316  10704   2080  27124    0    0     0     0 1248  446 44 16 40  0
 0  0  54316  10436   2080  27292    0    0     0     0 1566 3726 56 21 23  0
 0  0  54312  11084   2080  27324    0    0     0     0 1176 1298 23 13 65  0
 0  0  54300  10100   2088  27400  160    0   160    16 2448 3853 14 26 60  0
 1  0  54300   9212   2088  27424    0    0     0     0 2177 3288  8 18 74  0
 2  0  54180   9036   2092  27456    0    0     4     0  637  283 24  7 69  0
 1  0  54172   9484   2092  27420   32    0    32     0 1057  277 42  9 48  0
 2  0  54168   9556   2092  27452    0    0     0     0  981  576 62 12 26  0
 2  0  54168   9432   2100  27448    0    0     0    12 4060 16434 18 23 59  0
 2  0  54168   9264   2100  27584    0    0     0     0 2137 4582 45 24 31  0
 2  0  54168  10128   2100  27688    0    0     0     0 1819 3419  8 17 75  0
 0  0  54164   9800   2100  27708    0    0     0     0 1603 1038 23 17 59  0
 3  0  54164   9068   2100  27740    0    0     0     0 2743 3681 15 24 61  0
 0  0  54084   8348   2108  27784    0    0     0    12 2505 3851 11 18 71  0
 2  0  54084   8492   2108  27832    0    0     0     0 1124 1031 29 17 55  0
 2  0  54032   8640   2124  27864    4    0    20    16 2006 3870 43 25 32  0
 2  0  54032   8744   2124  27832    0    0     0  1500 1442 1976 46 27 28  0
 4  0  54032   8664   2124  27936    0    0     0     0 1723 2350 40 34 26  0
 0  0  54032   8996   2124  27996    0    0     0     0 2537 3800 17 25 58  0
 1  0  54032   9220   2124  28016    0    0     0     0  550  364  4  4 92  0
 3  0  54028   8516   2132  28032    0    0     0    56 1812 2743 34 16 50  0
 5  0  54028   8328   2132  28120    0    0     0    16 1962 2314 61 24 16  0
 0  0  54028   8184   2132  28280    0    0     0     0 1946 2822 20 18 62  0
 2  0  54028   9080   2132  28296    0    0     0     0  757  486  2  8 89  0
 1  0  54028   7532   2132  28308    0    0     0     0 1107  591 22 11 66  0
 1  0  55328   8272   2140  28084    0 1300     0  1332 1261  627 43 13 42  1
 0  0  58344   9320   2088  27832    0 3016     0  3016 2344 3018 33 30 38  0
 0  0  58344  13080   2088  27848    0    0     0     0  852  559  2  7 91  0
 1  0  58344  11716   2088  27860    0    0     0     0 1271  972 12 12 76  0
 2  0  58324  11492   2088  27848   96    0    96     0 1003  504 45 10 46  0
 0  0  58324  12148   2096  28044    0    0     0    12 1592 3554 46 28 26  0
 0  0  58324  12304   2096  28112    0    0     0    48 1947 2339  3 17 80  0
 1  0  58316  12224   2096  28160    0    0     0     0 2397 2876  2 15 84  0
 1  0  58316  11464   2096  28188    0    0     0     0 2175 2265 12 14 74  0
 1  0  58204  11160   2096  28196   32    0    32     0 2509 8378 32 13 56  0
 1  0  58204  11020   2104  28256    0    0     0    12 1092  968 45 13 43  0
 1  0  58156  10972   2104  28292    0    0     0     0  648  176 42  9 49  0
 1  0  58156  10972   2104  28292    0    0     0     0  804  166 43  8 49  0
 1  0  58156  10972   2104  28292    0    0     0     0  718  169 45  5 50  0
 4  0  58156  10972   2104  28292    0    0     0     0  952  500 46 13 41  0
 0  0  58156  11948   2112  28444    0    0     0    12 2392 3972 18 21 61  0
 0  0  58156  12068   2112  28472    0    0     0     0  708  556  2  5 93  0
 0  0  58156  11580   2112  28480    0    0     0     0 1040  814  1  9 90  0
 1  0  58124  10596   2112  28496  220    0   220     0  613  304 25  7 68  0
 2  0  58124  10532   2112  28508    0    0     0     0 1587 3018 52 18 29  0
 3  0  58124   8520   2120  28628    0    0     0    12 1806 3274 68 23  8  0
 1  0  58124  11016   2120  28704    0    0     0   472 1057 1154 49 12 39  0
 1  0  58116  11324   2120  28732   32    0    32     0 2340 2409 26 18 57  0
 3  0  58020  10236   2120  28848  960    0   960     0 1987 2281  8 16 75  0
 2  0  57996   9248   2120  28800   96    0    96     0  580  400 11  5 84  0
 2  0  57996   8868   2128  28824    0    0     0    24 2148 5242 70 14 17  0
 2  0  57968   8808   2128  28996   28    0    28     4 2224 3930 60 27 13  0
 0  0  57968   9412   2128  29044   32    0    32     0 1980 2992 30 28 43  0
 0  0  57968   9644   2128  29084    0    0     0     0 1437 1559  4 14 83  0
 2  0  57968   8396   2128  29088    0    0     0     0 1321  998 20 20 61  0
 0  0  59480   8404   2108  29140    0 1512     0  1512 3292 8488 39 39 23  0
 0  0  59480   9676   2116  29184   28    0    28  1808  895 1255  1  4 94  0
 1  0  59480   9496   2116  29164   32    0    32     0 2071 2078  4 18 78  0
 1  0  59476   8748   2116  29228   32    0    32     0 1078  699 25  9 66  0
 5  0  59476   8708   2116  29336    0    0     0     0 1573 1880 53 23 24  0
 1  0  59472   8972   2120  29716   32    0    32     0 1479 3650 61 22 17  0
 2  0  59464   8748   2128  29876    0    0    88    40 2558 3625  6 18 76  0
 0  0  59464   8820   2128  29916    0    0     0     0 1246 1392  3  8 90  0
 1  0  59464   7836   2128  29920    0    0     0     0  856  243 28  8 64  0
 1  0  59464   7680   2128  29932    0    0     0     0 1325  483 40 22 39  0
 0  0  59464   8416   2128  30104    0    0     0     0 1483 2808 50 28 23  0
^C 2  0  59464   8660   2136  30172    0    0     0    44 2611 3072  6 17 77  0
 0  0  59464   8780   2136  30208    0    0     0     0 1259 1575  3 12 85  0
MEDIA
NR:  106 CPU:  48.0865

