procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1  23072  10496   1064  31264    8   12    72    18  128  153  3  2 95  0
 1  0  23072  10348   1064  31400    0    0   136     0  637  764  2  8 90  0
 0  0  23072  10348   1064  31424    0    0     0     0  844  964  4 14 83  0
 0  0  23072  10348   1064  31452    0    0     0     0 1617 1684  7 25 67  0
 0  0  23072  10244   1064  31492    0    0     0     0 2588 2454  6 26 68  0
 2  0  23072   9952   1072  31508    0    0     0    32 2190 2717  9 24 67  0
 6  0  22980   9752   1072  31564    0    0     0     0 2545 3056 11 21 69  0
 0  0  22980   9728   1072  31620    0    0     0     0 1972 2601  9 25 65  0
 0  0  22980   9328   1072  31692    0    0     0     0 2402 3568  8 24 68  0
 2  0  22980   9040   1072  31748    0    0     0     0 2047 2682 10 27 63  0
 0  0  22980   8440   1080  31800    0    0     0    20 1985 2910  7 15 78  0
 2  0  23380   7776   1076  31116   64  400   136   400 1402  826  4 11 74 11
 1  0  24504   8508   1076  29996 1464 1692  1464  1692 1478  612 33 13 51  4
 3  1  24088   7944   1076  30028  304   32   304    32 1282  708 41 19 40  0
 1  0  25140  11072   1084  29092  236 1092   244  1832 5298 1867 15 30 55  0
 4  0  24852  10768   1092  29188  580    0   644    60 2688 3608 12 31 56  1
 0  0  24740  10220   1096  29576  108    0   348     0 1333 1991  6 13 82  0
 1  0  24592   9376   1096  29520   32    0    32     0 1337 1247 19 12 68  0
 5  0  24584   9148   1096  29644    0    0     0     0 2280 2564 53 33 14  0
 1  0  24568  10172   1096  29800    8    0     8     0 2310 3792 15 24 61  0
 0  0  24568   9896   1104  29804    0    0     0    12 1700 1378  6 21 73  0
 3  0  24568   9600   1104  29840    0    0     0     0 2053 2319  4 15 80  0
 2  0  24568   8420   1104  29868    0    0     0     0  766  661 13  6 80  0
 3  0  24564   8036   1104  29984    0    0     0     0 1390 1571 52 19 30  0
 0  0  24512   8664   1104  30172    0    0     0     0 2008 4022 45 28 27  0
 1  0  24508   8312   1112  30152    4    0     4    12 2426 3828  9 16 75  0
 0  0  24508   8880   1112  30192    0    0     0     0  613  712  1  6 93  0
 2  0  24508   7600   1112  30196    0    0     0     0 1420  529 27 21 52  0
 1  0  24920   8552   1108  30012    0  412    20   416 3935 2154 27 53 13  7
 0  0  24824   8620   1108  29952  188    0   188     0 1362 1787 33 15 52  0
 2  0  24780   8000   1116  29972   64    0    64    12 2405 2971  3 16 82  0
 1  1  25300   7624   1116  29436  372  628   372   628 3836 3841  9 24 55 12
 1  0  25496   9056   1116  28564  672  476   672  1808 4051 1499 39 22 19 20
 1  0  25392  10344   1116  28620    0    0     0     0  991  269 42 16 42  0
 4  0  25244  10148   1116  28736   44    0   128     0 1912 1643 35 28 37  0
 0  0  25200   9036   1124  28780    0    0     0    52 2337 3229  6 16 78  0
 2  0  25200   8872   1124  28800    0    0     0     0 1370 1111  3  8 89  0
 2  0  25196   9276   1124  28864    0    0     0     0 3238 9637 25 21 54  0
 2  0  25196   9356   1124  28868    0    0     0     0 1199 1949 78 13  9  0
 2  0  25196   9364   1124  28872    0    0     0     0 1161  757 80 15  5  0
 2  0  25196   9172   1132  28924    0    0     0    12 3291 6782 55 25 19  0
 0  0  25184   9124   1132  29076    0    0     0     0 2075 4007 35 17 48  0
 0  0  25184   9780   1132  29116    0    0     0     0 2358 3920  8 14 78  0
 0  0  25184   9164   1132  29136    0    0     0     0  910  555  2  6 91  0
 0  1  25248   7796   1132  29208   60   72    60    72 2143 4005 33 23 35  9
 1  0  25296   9656   1140  28936   64   88    64   100 1057  479 28 13 53  7
 1  0  25260   9376   1140  28984    0    0     0     0 1669 2221 23 15 62  0
 1  0  25256   8824   1140  29020    0    0     0     0 2533 2744  6 18 77  0
 2  0  25244   8404   1140  29116   16    0    16     0 1558 1681 37 20 44  0
 1  0  25244   8740   1140  29132    0    0     0     0  859  229 43  9 49  0
^C 0  0  25244   8316   1148  29180    0    0     0    12 1725 2720 39 20 42  0
 0  0  25244   8044   1148  29280    0    0     0     0 1698 2179  6 13 81  0
 0  0  25228   8328   1148  29348    0    0    52     0 1093  704 12 10 78  0
 2  0  25228   7880   1148  29340    0    0     0     0 1156  177 42  8 50  0
 2  0  25220   7816   1148  29348    0    0     0     0 1194 2164 65 12 23  0
 0  0  25536   8524   1152  28692    0  320     4   332 3846 3972 44 25 18 13
 2  0  25488   9872   1152  28748  116    0   116     0 1418 1836  6 15 79  0
 0  0  25368   9444   1152  28780  208    0   208     0 2202 2322 16 24 60  0
 0  0  25368   8900   1152  28812    0    0     0     0 1716 2065  4 16 79  0
 2  0  25308   8004   1152  28820    0    0     0     0 1542  900 29 15 55  0
 0  0  25292   8892   1160  29032    0    0     0    12 2479 3374 30 28 43  0
 1  0  25292   9028   1160  29080    0    0     0     0 2119 2418  6 18 76  0
 0  0  25292   8916   1160  29120    0    0     0    16 2572 3447 11 22 67  0
 2  0  25292   8708   1160  29168    0    0     0     0 2141 2176  4 14 82  0
 1  0  25292   7852   1160  29184    0    0     0     0 1434  865 14 11 75  0
 2  1  25244   7648   1156  28928    0    4     0    20 2681 2594 50 30 20  1
 1  0  25244   8288   1156  28188    0    0     0     0 1842 2544  9 10 54 27
 0  0  25244   8864   1156  28204    0    0     0  1956 1668 1391  1 14 84  0
 1  0  25244   7992   1156  28216    0    0     0     0 1383  918 16 11 73  0
 1  0  25204   7772   1156  28224    8    0     8     0 1079  684 50 15 35  0
 0  1  25632   9624   1160  26296  520  700   520  1184 9057 2009 49 26 21  5
 2  0  25548  11164   1160  26440   20    0   168     0 1920 2807 10 15 70  6
 0  0  25516  11188   1160  26464   60    0    60     0 2557 3482  3 23 73  0
 0  0  25516  11140   1160  26488    0    0     0     0 1082  863  3  9 89  0
 1  0  25504   9540   1160  26512    0    0     0    16 1631 1068 21 16 63  0
