Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,20000,6372,2609,10586,19707,129209,1,157833,1.050%,62.49688,121.42,0.00
/P1-base/procesapago,20000,6796,2638,10915,20168,129952,9,260924,1.315%,62.48848,57.18,0.00
TOTAL,40000,6584,2621,10763,19841,129401,1,260924,1.183%,124.06178,177.28,0.00
