Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,45000,12239,2704,22354,75704,131113,0,464081,11.760%,87.37033,168.51,0.00
/P1-base/procesapago,45000,10382,2688,18570,65156,130919,0,448027,10.891%,87.37202,80.30,0.00
TOTAL,90000,11311,2695,19584,68841,131031,0,464081,11.326%,173.97927,247.72,0.00
