procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1  73816  20344   1408  30524    8   12    67    19  148  175  3  2 94  0
 0  0  73816  20344   1408  30624    0    0    64     0  138  159  2  1 98  0
 0  0  73812  20344   1408  30628    0    0     0     0   97  158  0  0 100  0
 0  0  73808  20344   1408  30624    0    0     0     0  100  164  0  0 100  0
 0  0  73808  20344   1408  30624    0    0     0     0  125  159  0  0 100  0
 0  0  73808  20220   1408  30636    0    0     0    44  845 1009  5 10 85  0
 0  0  73808  20220   1408  30692    0    0     0     0 1739 2252 16 24 60  0
 1  0  73808  20220   1408  30756    0    0     0     0 2188 2947 19 33 48  0
 1  0  73808  19700   1408  30812    0    0     0     0 2195 3084 11 19 70  0
 1  0  73808  17748   1408  30840    0    0     0     0  690  547  5 10 85  0
 1  0  73808  16332   1416  31060    0    0     0    16 1524 2174 49 20 31  0
 1  0  73808  17660   1416  31076    0    0     0     0 1058  351 42 10 49  0
 1  0  73808  16952   1416  31128    0    0     0     0 2109 3023 31 20 50  0
 1  0  73808  15652   1416  31216    8    0     8     0 1661 2029 35 18 48  0
 1  0  73808  16756   1416  31216    0    0     0     0  849  263 43  9 48  0
 2  0  73808  16876   1424  31220    0    0     0    28 1476 1048 49  8 43  0
 3  0  73804  16008   1424  31288    0    0     0     0 1836 2348 69 20 11  0
 1  0  73804  16400   1424  31464    0    0     0     0 1757 3101 17 16 67  0
 4  0  73744  17068   1424  31500   28    0    72     0 1133  604 58 11 30  0
 1  0  73736  16664   1424  31544    0    0     0     0 1856 1810 43 20 37  0
 1  0  73704  16228   1432  31644   84    0    84    16 1080  594 40 12 48  1
 2  0  73700  15740   1432  31712    0    0     0     0 2764 7754 50 25 25  0
 3  0  73700  15992   1432  31796    0    0     0     0 1329 1280 40 21 40  0
 4  0  73684  17452   1432  29856    0    0     0     0 1160 7393 75 16  9  0
 0  0  73684  15400   1432  31112    0    0     0     0 2080 8494 53 29 18  0
 2  0  73664  16920   1432  31108    0    0     0    20 1161  916 54 11 34  0
 2  0  73664  16324   1440  31184    0    0     0    44 2152 3311 59 20 21  0
 1  0  73664  15940   1440  31320    0    0     4     0 1680 2136 29 15 56  0
 1  0  73664  16564   1440  31336    0    0     0     0 1366  995 65 15 21  0
 1  0  73660  15632   1440  31520    0    0     0     0 2636 3925 45 30 26  0
 2  0  73660  15984   1440  31568    0    0     0     0 1350 1082 39 12 50  0
 4  0  73652  15228   1448  31724    0    0     0    60 1859 1874 61 22 17  0
 4  0  73648  17196   1448  29848    8    0     8     0 1574 8224 66 27  7  0
 3  0  73648  16716   1452  31108    0    0     0     0 1999 7179 73 21  6  0
 1  0  73644  16440   1452  31184    0    0     0     0 1411 2806 48 18 33  0
 1  0  73644  16188   1452  31256    0    0     0     0 1166 1321 47 12 41  0
 1  0  73632  15976   1460  31388    4    0     4    40 1751 2172 36 21 43  0
 3  0  73632  15724   1460  31408    0    0     0     0 1216  940 46 13 40  0
 1  0  73632  15808   1460  31616    0    0     0     0 1462 2031 40 23 37  0
 1  0  73632  15604   1460  31628    0    0     0     0 1438  637 40 20 41  0
 1  0  73632  15780   1460  29900    0    0     0     0 1957 3202 38 27 36  0
 2  0  73632  16644   1468  29936    0    0     0    40 1659 1826 40 23 37  0
 2  0  73628  16516   1468  29980    0    0     0     0 1834 2472 56 21 23  0
 1  0  73624  16144   1468  30164    0    0     0     0 1841 2920 43 27 30  0
 2  0  73624  16472   1468  30180    0    0     0     0  983  281 42 17 41  0
 0  0  73616  16120   1468  30264    0    0     0    60 2018 3161 41 30 29  0
 2  0  73616  16256   1476  30372    0    0     0    12 1409 1225 47 25 29  0
 1  0  73616  16116   1476  30492    0    0     0     0 2113 3348 45 33 22  0
 0  0  73616  15836   1476  30592    0    0     0     0 2073 3163  7 16 77  0
 2  0  73616  15664   1476  30612    0    0     0     0 1377  726 43 20 37  0
^C 4  0  73584  15664   1476  30696    0    0     0     0 1565 1709 67 24 10  0
 2  0  73556  15572   1484  30848    0    0     0    12 1208 3057 36 18 46  0
 1  0  73556  15376   1484  30924    0    0     0     0 1495 1871 44 25 32  0
 0  0  73548  14496   1484  31352   52    0   316     0 1968 2676 37 25 38  0
 1  0  73548  14368   1484  31392    0    0     0     0 1537 1478 32 14 55  0
 2  0  73548  14324   1484  31456    0    0     0    16 1790 1020 39 25 36  0
 7  0  73548  13544   1492  31556    0    0     0    20 1772 1544 53 36 12  0
 1  0  73548  13756   1492  31648    0    0     0     0 1761 1657 19 25 55  0
 5  0  73548  13836   1492  31692    0    0     0     0 1618 1707 43 28 30  0
 1  0  73548  13412   1492  31896    0    0     0     0 1418 2682 47 27 26  0
 5  0  73548  13644   1492  31908    0    0     0     0 1577 1210 45 28 27  0
 1  0  73548  13360   1492  32060    0    0     0     0 1948 2662 32 21 47  0
 3  0  73548  13276   1500  32136    0    0     0    32 1720 1123 41 24 35  0
 1  0  73548  12984   1500  32308    0    0     0     0 1554 1664 49 17 35  0
 1  0  73548  12912   1500  32344    0    0     0     0 1891 2437 22 19 59  0
 1  0  73548  13012   1500  32392    0    0     0     0 1362 1120 48 16 36  0
 1  0  73548  12768   1500  32592    0    0     0     0 1945 4374 41 24 36  0
 0  0  73540  12280   1508  32708    0    0     0    12 1358 1838 48 17 35  0
 1  0  73540  12128   1508  32768    0    0     0     0 2132 2956 13 23 64  0
 2  0  73540  12248   1508  32808    0    0     0     0 1280  671 42 20 38  0
 2  0  73540  12232   1508  32844    0    0     0     0 2610 5126 45 27 28  0
 0  0  73540  10324   1508  33048    0    0     0     0 1751 3359 38 28 35  0
 1  0  73536  11908   1516  33056    0    0     0    12  869  364 41 11 49  0
 1  0  73532  11884   1516  33112    0    0     0     0 1821 2086 23 19 58  0
 1  0  73532  11620   1516  33120    0    0     0     0 1243 3068 43  9 48  0
 1  0  73532  11184   1516  33316    0    0     0  1956 2074 3829 27 32 41  0
 5  0  73532  11456   1516  33344    0    0     0     0 1749 3460 39 24 37  0
 4  0  73532  11036   1524  33460    0    0     0    36 1950 2973 23 23 53  0
 1  0  73532  11108   1524  33512    0    0     0     0 1097  622 39 12 49  0
 1  0  73532  10884   1524  33536    0    0     0     0 1358  479 44 13 43  0
